时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%)
2020-01-02 16:00:00,1.36,0,0,0,0,0,-1.34
2020-01-03 16:00:00,1.18,1.27,1267.98,0,100064,0,0.09
2020-01-06 16:00:00,0.8,0.62,0,-649,0,0,-0.18
2020-01-07 16:00:00,1.55,1.09,472,0,0,0,-0.45
2020-01-08 16:00:00,0.38,-1.8,0,-2891,0,0,-2.17
2020-01-09 16:00:00,1.65,-1.16,638.22,0,0,-99061,-2.76
2020-01-10 16:00:00,1.63,-1.16,0,0,0,0,-2.75
2020-01-13 16:00:00,2.62,-1.16,0,0,0,0,-3.68
2020-01-14 16:00:00,2.28,-1.16,0,0,0,0,-3.36
2020-01-15 16:00:00,1.71,-1.16,0,0,0,0,-2.82
2020-01-16 16:00:00,1.28,-1.16,0,0,0,0,-2.41
2020-01-17 16:00:00,1.42,-1.16,0,0,0,0,-2.54
2020-01-20 16:00:00,2.18,-1.16,0,0,0,0,-3.27
2020-01-21 16:00:00,0.43,-1.16,0,0,0,0,-1.58
2020-01-22 16:00:00,0.86,-1.16,0,0,0,0,-2
2020-01-23 16:00:00,-2.26,-1.16,0,0,0,0,1.13
2020-02-03 16:00:00,-9.96,-1.16,0,0,0,0,9.77
2020-02-04 16:00:00,-7.59,-1.16,0,0,0,0,6.96
2020-02-05 16:00:00,-6.54,-1.16,0,0,0,0,5.76
2020-02-06 16:00:00,-4.8,-1.16,0,0,0,0,3.82
2020-02-07 16:00:00,-4.8,-1.16,0,0,0,0,3.82
2020-02-10 16:00:00,-4.41,-1.16,0,0,0,0,3.4
2020-02-11 16:00:00,-3.52,-1.16,0,0,0,0,2.45
2020-02-12 16:00:00,-2.74,-1.16,0,0,0,0,1.62
2020-02-13 16:00:00,-3.34,-1.16,0,0,0,0,2.26
2020-02-14 16:00:00,-2.66,-1.16,0,0,0,0,1.54
2020-02-17 16:00:00,-0.47,0.82,1985.63,0,97890,0,1.3
2020-02-18 16:00:00,-0.95,-0.28,0,-1105,0,0,0.68
2020-02-19 16:00:00,-1.11,-0.02,260,0,0,0,1.1
2020-02-20 16:00:00,1.17,2.25,2275,0,0,0,1.07
2020-02-21 16:00:00,1.29,2.19,0,-65,0,0,0.89
2020-02-24 16:00:00,0.89,-0.09,0,-2275,0,0,-0.97
2020-02-25 16:00:00,0.67,-1.84,0,-1751.58,0,-97370,-2.49
2020-02-26 16:00:00,-0.58,-1.84,0,0,0,0,-1.27
2020-02-27 16:00:00,-0.29,-1.84,0,0,0,0,-1.55
2020-02-28 16:00:00,-3.82,-1.84,0,0,0,0,2.06
2020-03-02 16:00:00,-0.66,-1.84,0,0,0,0,-1.19
2020-03-03 16:00:00,-0.13,-1.84,0,0,0,0,-1.71
2020-03-04 16:00:00,0.45,-1.84,0,0,0,0,-2.28
2020-03-05 16:00:00,2.69,-1.84,0,0,0,0,-4.41
2020-03-06 16:00:00,1.02,-2.95,0,-1117.18,97280,0,-3.93
2020-03-09 16:00:00,-2.43,-6.67,0,-3712,0,0,-4.35
2020-03-10 16:00:00,-0.34,-7.36,0,-695.48,0,-91904,-7.04
2020-03-11 16:00:00,-1.66,-7.36,0,0,0,0,-5.8
2020-03-12 16:00:00,-3.56,-7.36,0,0,0,0,-3.94
2020-03-13 16:00:00,-4.91,-7.36,0,0,0,0,-2.58
2020-03-16 16:00:00,-9,-7.36,0,0,0,0,1.8
2020-03-17 16:00:00,-9.44,-7.36,0,0,0,0,2.3
2020-03-18 16:00:00,-11.24,-7.36,0,0,0,0,4.37
2020-03-19 16:00:00,-12.39,-7.36,0,0,0,0,5.74
2020-03-20 16:00:00,-10.82,-7.36,0,0,0,0,3.88
2020-03-23 16:00:00,-13.82,-7.36,0,0,0,0,7.5
2020-03-24 16:00:00,-11.51,-7.36,0,0,0,0,4.69
2020-03-25 16:00:00,-9.13,-7.6,0,-240.48,91590,0,1.68
2020-03-26 16:00:00,-9.73,-6.25,1349,0,0,0,3.86
2020-03-27 16:00:00,-9.44,-5.61,639,0,0,0,4.23
2020-03-30 16:00:00,-10.31,-7.11,0,-1491,0,0,3.57
2020-03-31 16:00:00,-10.02,-8.1,0,-994,0,0,2.13
2020-04-01 16:00:00,-10.29,-7.93,165.49,0,0,-91164,2.63
2020-04-02 16:00:00,-8.84,-7.93,0,0,0,0,1
2020-04-03 16:00:00,-9.36,-7.93,0,0,0,0,1.58
2020-04-07 16:00:00,-7.29,-7.93,0,0,0,0,-0.69
2020-04-08 16:00:00,-7.72,-7.93,0,0,0,0,-0.23
2020-04-09 16:00:00,-7.42,-7.93,0,0,0,0,-0.55
2020-04-10 16:00:00,-7.99,-7.93,0,0,0,0,0.07
2020-04-13 16:00:00,-8.38,-7.93,0,0,0,0,0.49
2020-04-14 16:00:00,-6.61,-7.93,0,0,0,0,-1.41
2020-04-15 16:00:00,-7.3,-7.93,0,0,0,0,-0.68
2020-04-16 16:00:00,-7.18,-7.93,0,0,0,0,-0.81
2020-04-17 16:00:00,-6.28,-7.93,0,0,0,0,-1.76
2020-04-20 16:00:00,-5.93,-7.93,0,0,0,0,-2.13
2020-04-21 16:00:00,-7.04,-7.06,869.43,0,91908,0,-0.02
2020-04-22 16:00:00,-6.28,-8.58,0,-1518,0,0,-2.45
2020-04-23 16:00:00,-6.51,-8.58,0,0,0,0,-2.21
2020-04-24 16:00:00,-7.31,-8.51,69,0,0,0,-1.29
2020-04-27 16:00:00,-6.68,-6.72,1794,0,0,0,-0.04
2020-04-28 16:00:00,-6.04,-6.58,138,0,0,0,-0.57
2020-04-29 16:00:00,-5.6,-3.13,3450,0,0,0,2.62
2020-04-30 16:00:00,-4.49,-3.75,0,-621,0,0,0.77
2020-05-06 16:00:00,-3.91,-4.86,0,-1104,0,0,-0.99
2020-05-07 16:00:00,-4.19,-5.41,0,-552,0,0,-1.27
2020-05-08 16:00:00,-3.25,-5.19,221.75,0,0,-94806,-2.01
2020-05-11 16:00:00,-3.33,-5.19,0,0,0,0,-1.92
2020-05-12 16:00:00,-3.33,-5.19,0,0,0,0,-1.92
2020-05-13 16:00:00,-3.13,-5.19,0,0,0,0,-2.13
2020-05-14 16:00:00,-4.18,-5.19,0,0,0,0,-1.05
2020-05-15 16:00:00,-4.49,-5.19,0,0,0,0,-0.73
