时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%)
2020-01-02 16:00:00,1.36,0.58,585,0,50010,0,-0.77
2020-01-03 16:00:00,1.18,1.51,930,0,0,0,0.33
2020-01-06 16:00:00,0.8,1.13,0,-383.5,0,-8495,0.33
2020-01-07 16:00:00,1.55,1.33,200,0,0,0,-0.22
2020-01-08 16:00:00,0.38,0.11,0,-1225,0,0,-0.27
2020-01-09 16:00:00,1.65,0.43,325,0,0,0,-1.2
2020-01-10 16:00:00,1.63,0.18,0,-250,0,0,-1.43
2020-01-13 16:00:00,2.62,0.93,750,0,0,0,-1.65
2020-01-14 16:00:00,2.28,0.36,0,-575,0,0,-1.88
2020-01-15 16:00:00,1.71,-0.24,0,-600,0,0,-1.92
2020-01-16 16:00:00,1.28,-0.85,0,-606,9924,0,-2.1
2020-01-17 16:00:00,1.42,-0.66,186,0,0,0,-2.05
2020-01-20 16:00:00,2.18,-0.48,186,0,0,0,-2.6
2020-01-21 16:00:00,0.43,-1.87,0,-1395,0,0,-2.29
2020-01-22 16:00:00,0.86,-1.51,364,0,9564,0,-2.35
2020-01-23 16:00:00,-2.26,-3.54,0,-2035,0,0,-1.31
2020-02-03 16:00:00,-9.96,-9.28,0,-5735,0,0,0.76
2020-02-04 16:00:00,-7.59,-7.02,2257,0,0,0,0.62
2020-02-05 16:00:00,-6.54,-6.91,111,0,0,0,-0.4
2020-02-06 16:00:00,-4.8,-6.39,518,0,0,0,-1.67
2020-02-07 16:00:00,-4.8,-6.95,0,-555,0,0,-2.26
2020-02-10 16:00:00,-4.41,-7.39,0,-444,0,0,-3.12
2020-02-11 16:00:00,-3.52,-6.32,1073,0,0,0,-2.9
2020-02-12 16:00:00,-2.74,-6.39,0,-74,0,0,-3.75
2020-02-13 16:00:00,-3.34,-6.84,0,-444,0,0,-3.62
2020-02-14 16:00:00,-2.66,-5.43,1406,0,0,0,-2.85
2020-02-17 16:00:00,-0.47,-4.17,1258,0,0,0,-3.72
2020-02-18 16:00:00,-0.95,-4.9,0,-724,9210,0,-3.99
2020-02-19 16:00:00,-1.11,-4.72,172,0,0,0,-3.65
2020-02-20 16:00:00,1.17,-3.22,1505,0,0,0,-4.34
2020-02-21 16:00:00,1.29,-3.26,0,-43,0,0,-4.49
2020-02-24 16:00:00,0.89,-4.77,0,-1505,0,0,-5.61
2020-02-25 16:00:00,0.67,-5.58,0,-810,9012,0,-6.21
2020-02-26 16:00:00,-0.58,-5.82,0,-245,0,0,-5.27
2020-02-27 16:00:00,-0.29,-5.23,588,0,0,0,-4.95
2020-02-28 16:00:00,-3.82,-8.22,0,-2989,0,0,-4.57
2020-03-02 16:00:00,-0.66,-6.8,1421,0,0,0,-6.18
2020-03-03 16:00:00,-0.13,-7.15,0,-343,0,0,-7.03
2020-03-04 16:00:00,0.45,-7.3,0,-158,8820,0,-7.72
2020-03-05 16:00:00,2.69,-3.45,3850,0,0,0,-5.98
2020-03-06 16:00:00,1.02,-5.37,0,-1916.1,0,-9096,-6.33
2020-03-09 16:00:00,-2.43,-8.38,0,-3015,8838,0,-6.1
2020-03-10 16:00:00,-0.34,-6.68,1705,0,0,0,-6.36
2020-03-11 16:00:00,-1.66,-7.06,0,-385,0,0,-5.49
2020-03-12 16:00:00,-3.56,-7.12,0,-55,0,0,-3.69
2020-03-13 16:00:00,-4.91,-8,0,-880,0,0,-3.25
2020-03-16 16:00:00,-9,-12.23,0,-4235,0,0,-3.55
2020-03-17 16:00:00,-9.44,-14.1,0,-1870,0,0,-5.15
2020-03-18 16:00:00,-11.24,-17.95,0,-3850,0,0,-7.56
2020-03-19 16:00:00,-12.39,-20.59,0,-2640,0,0,-9.36
2020-03-20 16:00:00,-10.82,-19,1595,0,0,0,-9.17
2020-03-23 16:00:00,-13.82,-21.03,0,-2035,0,0,-8.37
2020-03-24 16:00:00,-11.51,-18.5,2530,0,0,0,-7.9
2020-03-25 16:00:00,-9.13,-17.07,1430,0,0,0,-8.74
2020-03-26 16:00:00,-9.73,-16.03,1045,0,0,0,-6.98
2020-03-27 16:00:00,-9.44,-15.53,495,0,0,0,-6.72
2020-03-30 16:00:00,-10.31,-16.69,0,-1155,0,0,-7.11
2020-03-31 16:00:00,-10.02,-17.46,0,-770,0,0,-8.27
2020-04-01 16:00:00,-10.29,-16.96,495,0,0,0,-7.44
2020-04-02 16:00:00,-8.84,-16.52,440,0,0,0,-8.42
2020-04-03 16:00:00,-9.36,-18.5,0,-1980,0,0,-10.08
2020-04-07 16:00:00,-7.29,-17.02,1485,0,0,0,-10.5
2020-04-08 16:00:00,-7.72,-17.66,0,-639,9030,0,-10.77
2020-04-09 16:00:00,-7.42,-17.91,0,-248,0,0,-11.33
2020-04-10 16:00:00,-7.99,-17.6,310,0,0,0,-10.44
2020-04-13 16:00:00,-8.38,-18.84,0,-1240,0,0,-11.42
2020-04-14 16:00:00,-6.61,-17.16,1674,0,0,0,-11.3
2020-04-15 16:00:00,-7.3,-17.1,62,0,0,0,-10.57
2020-04-16 16:00:00,-7.18,-18.28,0,-1178,0,0,-11.96
